speed,flag
50,1
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
51,1
56,0
57,0
60,0
64,1
71,0
74,0
77,0
80,1
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
82,0
86,0
89,1
90,0
91,0
89,0
82,1
80,0
77,0
75,0
72,1
70,0
70,0
70,0
70,0
70,0
70,0
70,0
68,0
65,0
63,1
60,0
58,0
55,0
52,1
50,0
49,0
47,0
44,1
41,0
37,0
30,0
25,1
24,0
22,0
20,0
18,1
17,0
15,0
13,0
11,1
9,0
7,0
3,0
0,1
0,0
0,0
1,0
6,0
16,1
32,0
48,0
63,0
74,1
81,0
81,0
81,0
81,0
81,0
81,0
81,0
81,0
81,0
81,0
81,0
81,0
81,0
81,0
81,0
81,0
81,1
81,0
81,0
80,0
78,0
74,1
64,0
53,0
44,0
39,1
36,0
33,0
29,0
22,1
20,0
27,0
38,0
46,1
53,0
60,0
63,0
65,1
66,0
68,0
70,0
71,1
75,0
78,0
81,0
87,1
90,0
93,0
96,0
98,1
100,0
100,0
100,0
100,0
100,0
100,0
95,0
91,1
84,0
81,0
80,0
80,1
82,0
92,0
97,0
99,1
101,0
104,0
107,0
110,1
114,0
118,0
120,0
120,1
123,0
124,0
127,0
130,1
130,0
130,0
129,0
125,0
122,1
119,0
116,0
112,0
108,1
101,0
98,0
93,0
89,1
86,0
82,0
78,0
74,1
70,0
67,0
64,0
61,1
60,0
60,0
60,0
60,0
62,0
63,0
65,1
67,0
69,0
70,0
70,1
70,0
68,0
67,0
65,1
61,0
60,0
60,0
62,1
64,0
66,0
69,0
70,1
69,0
66,0
62,0
60,1
60,0
61,0
64,0
67,1
70,0
70,0
70,0
70,0
70,0
70,0
70,0
